ZIPCODE,NAICS2012_11,NAICS2012_71,NAICS2012_61,NAICS2012_52,NAICS2012_62,NAICS2012_51,NAICS2012_21,NAICS2012_54,LAT,LON,STATE,ESTMTD_POP_2015
1230,1,14,7,17,45,9,0,42,42.19,-73.35,MA,6260
1235,0,1,2,0,2,0,0,2,42.42,-73.07,MA,2580
1236,0,0,1,0,2,0,0,5,42.27,-73.38,MA,1420
1237,1,4,0,1,6,1,0,3,42.51,-73.22,MA,2720
1238,0,2,2,9,11,4,1,15,42.3,-73.25,MA,5160
1240,0,8,10,16,21,3,0,18,42.35,-73.28,MA,4110
1242,0,0,1,0,1,0,0,1,42.33,-73.25,MA,559
1243,1,0,0,0,0,0,0,0,42.35,-73.01,MA,315
1244,0,0,0,0,1,0,0,1,42.12,-73.26,MA,328
1245,0,3,0,0,2,1,0,2,42.18,-73.21,MA,680
1247,0,6,1,16,42,11,0,20,42.68,-73.11,MA,11710
1252,0,1,0,0,0,0,0,0,42.17,-73.44,MA,281
1253,0,1,0,1,3,1,0,0,42.21,-73.11,MA,740
1254,1,0,1,1,3,0,0,4,42.37,-73.36,MA,1060
1255,1,1,0,0,1,0,0,1,42.11,-73.13,MA,600
1257,0,4,3,4,1,0,1,5,42.1,-73.34,MA,2080
1258,0,1,0,1,1,1,0,4,42.11,-73.46,MA,600
1259,0,1,0,1,0,1,0,1,42.07,-73.23,MA,410
1260,0,0,0,1,0,1,0,1,42.3,-73.34,MA,254
1262,2,10,2,4,5,1,1,5,42.3,-73.32,MA,1342
1264,0,0,0,0,0,1,0,0,42.24,-73.19,MA,198
1266,0,0,1,2,0,0,1,5,42.31,-73.39,MA,1240
1267,1,11,6,12,23,6,0,24,42.7,-73.2,MA,5170
1301,0,12,11,26,98,10,0,51,42.58,-72.59,MA,14160
1302,0,1,0,2,3,0,0,3,42.58,-72.59,MA,502
1330,0,1,1,0,0,1,0,4,42.53,-72.78,MA,1310
1331,0,3,3,12,33,3,0,9,42.59,-72.23,MA,11210
1337,0,2,1,0,2,0,0,1,42.66,-72.55,MA,2440
1338,0,0,0,0,1,0,0,1,42.57,-72.82,MA,210
1339,0,3,1,1,1,0,0,1,42.63,-72.88,MA,1240
1340,0,0,0,0,0,0,0,1,42.66,-72.68,MA,1600
1341,0,1,2,1,1,2,0,1,42.51,-72.68,MA,1560
1342,0,2,3,0,1,0,1,2,42.55,-72.6,MA,1340
1344,0,1,0,1,1,0,0,1,42.6,-72.4,MA,1390
1350,0,0,0,0,0,0,0,1,42.72,-72.98,MA,35
1351,0,0,1,1,1,0,0,5,42.53,-72.53,MA,2110
1354,0,1,0,0,2,0,0,1,42.62,-72.51,MA,1450
1355,1,2,0,0,1,1,0,2,42.5,-72.33,MA,860
1360,2,0,1,1,2,1,0,3,42.7,-72.43,MA,2680
1364,1,2,1,5,14,2,0,5,42.59,-72.3,MA,6140
1366,1,1,1,0,2,1,0,4,42.48,-72.18,MA,1090
1367,0,0,0,0,0,0,0,1,42.7,-72.9,MA,440
1368,0,0,1,0,0,0,0,1,42.68,-72.18,MA,1050
1370,0,8,1,7,11,4,0,15,42.6,-72.74,MA,3510
1373,0,1,0,7,14,2,0,12,42.47,-72.59,MA,4070
1375,0,1,1,2,1,2,1,6,42.46,-72.58,MA,2880
1376,0,1,1,4,26,1,0,4,42.59,-72.55,MA,4320
1378,0,0,0,0,1,0,0,0,42.68,-72.33,MA,630
1379,0,0,1,0,1,0,0,2,42.55,-72.4,MA,750
1380,0,0,0,0,1,0,0,0,42.58,-72.37,MA,81
1420,0,6,12,34,115,8,0,45,42.58,-71.81,MA,33060
1430,0,1,1,5,7,2,0,5,42.63,-71.9,MA,5730
1431,1,0,1,0,2,1,0,4,42.68,-71.81,MA,2860
1432,0,1,4,8,20,5,0,19,42.56,-71.58,MA,7280
1434,0,2,2,2,6,1,0,11,42.53,-71.61,MA,440
1436,0,0,1,1,6,0,0,0,42.6,-72.07,MA,2580
1438,0,1,0,0,1,0,1,2,42.56,-72.03,MA,704
1440,0,9,6,18,67,8,0,25,42.58,-71.98,MA,16400
1450,2,4,7,8,28,5,0,22,42.6,-71.57,MA,10720
1451,4,5,1,5,23,4,0,35,42.5,-71.58,MA,5190
1452,2,1,0,1,5,1,0,7,42.48,-72.01,MA,4150
1453,0,15,9,50,124,12,0,96,42.51,-71.77,MA,37880
1460,1,4,4,11,22,15,0,47,42.53,-71.47,MA,9360
1462,0,4,1,10,12,4,0,19,42.59,-71.72,MA,10460
1463,0,0,2,7,15,2,0,23,42.66,-71.58,MA,10880
1464,1,1,0,3,4,0,0,14,42.54,-71.65,MA,5680
1468,0,1,0,1,3,1,0,8,42.55,-72.06,MA,3940
1469,0,4,3,5,4,3,0,10,42.66,-71.7,MA,6770
1472,0,1,0,0,1,0,0,1,42.61,-71.62,MA,352
1473,5,2,1,3,16,1,0,8,42.55,-71.9,MA,7330
1474,0,0,0,0,1,0,0,0,42.66,-71.74,MA,1830
1475,2,2,4,6,11,1,0,5,42.68,-72.04,MA,8680
1501,2,7,10,37,64,4,0,35,42.2,-71.83,MA,15470
1503,2,1,0,1,4,0,1,5,42.38,-71.63,MA,2840
1504,0,0,0,3,9,2,1,6,42.04,-71.53,MA,8380
1505,0,7,2,5,3,3,0,17,42.35,-71.73,MA,4310
1506,0,0,0,0,4,0,0,2,42.21,-72.1,MA,3050
1507,0,4,3,10,19,6,0,20,42.13,-71.96,MA,11860
1508,0,0,1,0,0,0,0,1,42.13,-71.96,MA,958
1510,0,2,2,11,15,1,0,20,42.41,-71.68,MA,13050
1515,0,3,0,4,0,0,0,2,42.22,-72.04,MA,2140
1516,0,3,3,6,7,1,1,8,42.05,-71.73,MA,8430
1518,0,2,3,4,3,0,0,6,42.12,-72.11,MA,2990
1519,2,1,6,2,7,2,0,15,42.2,-71.68,MA,6990
1520,0,1,8,16,38,4,0,31,42.35,-71.85,MA,15210
1521,1,2,1,1,0,0,0,1,42.05,-72.15,MA,2180
1522,0,2,1,1,3,0,1,3,42.38,-71.87,MA,3240
1523,0,5,4,3,19,2,1,17,42.45,-71.66,MA,5860
1524,0,2,1,5,11,3,0,7,42.25,-71.9,MA,6030
1525,0,0,0,1,3,0,0,2,42.11,-71.63,MA,1058
1526,0,0,0,0,1,0,0,0,42.12,-71.76,MA,534
1527,0,6,2,6,16,8,0,19,42.19,-71.76,MA,12130
1529,0,0,0,0,1,0,0,5,42.03,-71.58,MA,2950
1531,0,0,0,0,0,0,0,1,42.31,-72.13,MA,950
1532,0,9,11,26,51,5,0,71,42.31,-71.64,MA,15300
1534,1,4,1,0,4,2,0,3,42.15,-71.65,MA,5830
1535,1,1,2,6,8,3,0,4,42.27,-72.08,MA,4150
1536,0,1,3,7,18,1,0,13,42.23,-71.69,MA,6880
1537,0,2,2,1,0,1,0,6,42.16,-71.88,MA,2000
1538,0,0,0,0,0,0,0,1,42.05,-71.64,MA,584
1540,0,2,4,13,15,4,1,19,42.11,-71.87,MA,10400
1541,2,3,0,3,6,0,0,12,42.45,-71.86,MA,3480
1542,0,1,0,0,4,0,0,1,42.2,-71.9,MA,2100
1543,1,1,0,4,9,2,0,7,42.36,-71.95,MA,8260
1545,0,13,24,32,81,8,0,96,42.3,-71.71,MA,36050
1550,0,4,3,8,55,7,0,20,42.08,-72.03,MA,14970
1560,0,0,3,2,4,1,0,8,42.17,-71.68,MA,4330
1561,0,0,1,3,3,0,0,6,42.44,-71.69,MA,1100
1562,1,3,2,10,18,4,0,15,42.24,-71.99,MA,10260
1564,1,4,2,8,16,3,1,18,42.43,-71.75,MA,7630
1566,1,2,0,18,28,4,0,27,42.09,-72.06,MA,6400
1568,0,4,5,5,7,2,0,11,42.17,-71.61,MA,7420
